0,0.000118
1,0.000158
2,0.000155
3,0.000149
0,0.000120
1,0.000182
2,0.000176
3,0.000173
0,0.000099
1,0.000160
2,0.000156
3,0.000149
0,0.000099
1,0.000168
2,0.000162
3,0.000154
0,0.000094
1,0.000133
2,0.000165
3,0.000174
0,0.000120
1,0.000162
2,0.000158
3,0.000147
0,0.000122
1,0.000177
2,0.000171
3,0.000169
0,0.000102
1,0.000133
2,0.000129
3,0.000116
0,0.000098
1,0.000128
2,0.000130
3,0.000124
0,0.000099
1,0.000167
2,0.000161
3,0.000152
0,0.000123
1,0.000161
2,0.000154
3,0.000141
0,0.000120
1,0.000137
2,0.000132
3,0.000125
0,0.000188
1,0.000370
2,0.000330
3,0.000337
0,0.000122
1,0.000163
2,0.000155
3,0.000146
0,0.000152
1,0.000169
2,0.000161
3,0.000154
0,0.000096
1,0.000127
2,0.000125
3,0.000117
0,0.000155
1,0.000213
2,0.000209
3,0.000205
0,0.000097
1,0.000170
2,0.000168
3,0.000162
0,0.000137
1,0.000207
2,0.000205
3,0.000201
0,0.000121
1,0.000180
2,0.000176
3,0.000172
